translator,family,language,domain,cosine,bleu,ter,embedding
google,romance,ca,conversational,0.991575843012214,70.10660249522935,20.70815450643777,0.8884196281433105
google,romance,ca,cultural,0.978264453724394,68.5521427161507,18.0327868852459,0.912648856639862
google,romance,ca,idiomatic,0.9854793420639142,74.88314417972644,16.521155137676296,0.8987590074539185
google,romance,ca,technical,0.9905177521570856,82.30503138232578,9.553641346906812,0.981743335723877
google,romance,ca,legal,0.991701078566172,77.52429196332201,13.906027527289986,0.9597473740577698
google,romance,ca,emotional,0.9900461182800572,66.15420446102678,21.18473895582329,0.9162158966064452
google,romance,es,conversational,0.9892398554859956,67.68814023356323,21.888412017167383,0.877821683883667
google,romance,es,cultural,0.9772915238142186,65.64546189839123,21.087928464977644,0.915412962436676
google,romance,es,idiomatic,0.978576902000228,65.79687410084759,23.505708529214235,0.8540234565734863
google,romance,es,technical,0.988550039275214,78.08545970885739,12.45105716523101,0.979177713394165
google,romance,es,legal,0.9912570192937492,75.84891448868179,14.4280968201234,0.9490593671798706
google,romance,es,emotional,0.9900644288818686,64.96202627985119,22.69076305220884,0.9172957539558412
google,romance,fr,conversational,0.9862570932721946,59.49667360628335,29.721030042918457,0.840777575969696
google,romance,fr,cultural,0.9850097789950024,69.27799603733176,18.181818181818183,0.9503890872001648
google,romance,fr,idiomatic,0.9785617881219434,62.758766286562256,25.386165211551376,0.8816041350364685
google,romance,fr,technical,0.9888830174566998,80.40910515834167,11.354737666405638,0.979305624961853
google,romance,fr,legal,0.989923412904547,71.70924758900242,16.516373991457048,0.9452080726623536
google,romance,fr,emotional,0.9899896983527096,65.02694125745457,21.0843373493976,0.9353016018867492
google,romance,gl,conversational,0.9919486209781676,71.4149974359142,19.4206008583691,0.8794577121734619
google,romance,gl,cultural,0.9837657425595332,71.9505973846753,15.94634873323398,0.9329968094825744
google,romance,gl,idiomatic,0.986803136680082,75.4422926745799,15.98388179986568,0.9289860725402832
google,romance,gl,technical,0.9910933779115322,83.76919010346319,8.927173061863742,0.9790008068084716
google,romance,gl,legal,0.990251507025883,73.95324023520803,16.13668723303275,0.9482857584953308
google,romance,gl,emotional,0.9902071663420154,65.92205089960133,21.98795180722892,0.9147273898124696
google,romance,it,conversational,0.987797687275856,65.84665527694159,24.67811158798284,0.8569366931915283
google,romance,it,cultural,0.981677669969955,68.77416990187471,18.4053651266766,0.9273514747619628
google,romance,it,idiomatic,0.9782044785831262,63.93481617788908,25.78912021490933,0.8426921963691711
google,romance,it,technical,0.9882910184493668,79.18420012300737,12.529365700861394,0.9787023067474364
google,romance,it,legal,0.9902354948376773,71.46767552114977,16.65875652586616,0.9456355571746826
google,romance,it,emotional,0.9911296164627864,65.75219856228314,20.833333333333336,0.929058313369751
google,romance,pt,conversational,0.9903600001715124,69.52916176062786,20.92274678111588,0.8788822889328003
google,romance,pt,cultural,0.9862709560147128,71.34470673895719,16.02086438152012,0.9538145661354064
google,romance,pt,idiomatic,0.9831919327941968,68.05553617941915,21.3566151779718,0.8977091312408447
